,Symbol,Name,Sector,Industry,Sales,Revenue,MarCap,PER,PBR,ROA,ROE,Volume,Price,Beta,DIVIDEND,cnn_score,total_score
0,MMM,3M,Industrials,Industrial Conglomerates,0.0585814322888191,0.04149922852132083,0.025116940434194778,0.012744887744887742,0.0011224956902009292,0.38212435233160624,0.4482606132075472,0.04240903139684836,0.027364414200355566,0.24866310160427807,0.46816846229187065,0.0,1.7560549597119295
1,AOS,A. O. Smith,Industrials,Building Products,0.005372965125290272,0.005030422461122393,0.0018803711013380161,0.012646575146575145,0.001054318077780916,0.4650259067357513,0.4480395047169811,0.006268285463398762,0.011004624257935657,0.30213903743315507,0.1929480901077375,0.0,1.4514101006270663
2,ABT,Abbott,Health Care,Health Care Equipment,0.0763970714223182,0.08566977098577608,0.07181152776266919,0.017508580008580004,0.0011444099227645049,0.4158031088082902,0.4450176886792453,0.013826424622282842,0.023391460199299007,0.17379679144385027,0.1665034280117532,0.0,1.4908702618668288
3,ABBV,AbbVie,Health Care,Pharmaceuticals,0.09649501996680092,0.12602558478284656,0.09556092557770905,0.015193765193765193,0.004049263194802918,0.37823834196891193,0.48909198113207547,0.02143066362603581,0.03179810542922135,0.16577540106951874,0.3868756121449559,0.0,1.8105346640866438
4,ABMD,Abiomed,Health Care,Health Care Equipment,0.0006209925457049492,0.0020228100696790307,0.0032906494273415286,0.049871299871299866,0.0018821890857382173,0.44041450777202074,0.4382370283018868,0.0007201923309709611,0.061987248916302626,0.3502673796791444,,0.0,1.3493142980000892
5,ACN,Accenture,Information Technology,IT Consulting & Other Services,0.10031022375829594,0.06639535245583196,0.0703895942438888,0.022808522808522805,0.0019941951632853816,0.46113989637305697,0.45113502358490565,0.005296519291597082,0.06669111066618744,0.31016042780748665,0.12634671890303625,0.0,1.6826675850560948
6,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,0.011828153683221586,0.01871124411352231,0.021884566970737696,0.026392463892463885,0.0006817761242001305,0.3652849740932642,0.4350678066037736,0.015219219172946571,0.016381500073573224,0.12032085561497327,0.056807051909892256,0.0,1.0885796122525686
7,ADM,ADM,Consumer Staples,Agricultural Products,0.15953104332538612,0.035977910713263915,0.017440053458484202,0.00965250965250965,0.000365237209392927,0.34585492227979275,0.4386792452830189,0.010896139088082365,0.01901325041671391,0.18983957219251338,0.1753183153770813,0.0,1.4025681989962395
8,ADBE,Adobe Inc.,Information Technology,Application Software,0.02724225828725283,0.04892791066307011,0.06850922314255078,0.031808594308594305,0.0031239955976741693,0.5064766839378239,0.4525353773584906,0.015170054440556663,0.08818172827117401,0.2887700534759358,,0.0,1.5307458794831232
9,ADP,ADP,Information Technology,Data Processing & Outsourced Services,0.026918647251367087,0.02945271694010575,0.037479214906214545,0.028349778349778348,0.007521451598765012,0.32642487046632124,0.47604658018867924,0.0057074110470524625,0.05531982641544025,0.20588235294117646,0.16552399608227228,0.0,1.3646268461871727
10,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0.017653152329164885,0.005216139514666126,0.002707889788497102,0.01603389103389103,0.0008230011784987291,0.3238341968911917,0.44037441037735847,0.0032327674379376446,0.04048215789054717,0.3155080213903743,0.3222331047992164,0.0,1.4880987326313435
11,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0.018811339194440158,0.0033820581264261316,0.005621687982719234,,0.0019454968686996581,0.2538860103626943,0.41538915094339623,0.01378718562654357,0.004274483600408151,0.22459893048128343,0.22233104799216455,0.5,1.6640273911787755
12,AFL,Aflac,Financials,Life & Health Insurance,0.03516221258656169,0.04350698045152333,0.013768667733764317,0.0056395681395681385,0.00023618672874075951,0.3044041450777202,0.43772110849056606,0.011442026485633229,0.012555692517000238,0.2272727272727273,0.2487757100881489,0.0,1.3404850255719543
13,A,Agilent Technologies,Health Care,Health Care Equipment,0.010159002024442513,0.0131899263054654,0.014277611151688449,0.025722150722150717,0.0018602748531746417,0.43134715025906734,0.44612323113207547,0.0077574833798038706,0.030500322033612113,0.2700534759358289,0.056807051909892256,0.0,1.3077976797072015
14,APD,Air Products and Chemicals,Materials,Industrial Gases,0.01920307886945974,0.022224809991376708,0.02090553077747906,0.020690333190333185,0.0009106581087530315,0.3756476683937824,0.43948997641509435,0.0023742615132429433,0.06013465105788645,0.19786096256684493,0.23898139079333985,0.0,1.3984233216775925
15,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,0.004896064651353393,0.005642786799834159,0.004133708371536465,0.020878020878020875,0.0007134300156808509,0.3588082901554404,0.4369103773584906,0.0034745561332884156,0.019548766985162336,0.16042780748663102,,0.0,1.0154338088354384
16,ALK,Alaska Air Group,Industrials,Airlines,0.012764922471311882,0.0017858953419151342,0.0007381622092029402,0.02494458744458744,0.00024592638765790425,0.2862694300518135,0.43138266509433965,0.004539267128032527,0.008652693382993248,0.3689839572192513,,0.5,1.6403075067311055
17,ALB,Albemarle Corporation,Materials,Specialty Chemicals,0.0061905087948963475,0.0024845930136256087,0.011589146684486162,0.11687580437580435,0.0012588509150409553,0.2966321243523316,0.4305719339622642,0.011342220813561179,0.07005376875815639,0.39037433155080214,0.04995102840352596,0.0,1.3873243116244949
18,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0.0028692376371216607,0.0027757170435049727,0.008516060855646553,0.07385957385957385,0.00023375181401147333,0.27849740932642486,0.4285819575471698,0.0030232022389087695,0.03468555287261219,0.23529411764705882,0.28599412340842306,0.0,1.3543307042504562
