종목코드,종목명,SEC_NM_KOR,업종명,시장구분,MKT_VAL,ALL_MKT_VAL,PER,PBR,DIV
038880,아이에이,경기관련소비재,반도체,KOSDAQ,191694,132591243,92.38,2.14,0.0
035080,그래디언트,경기관련소비재,유통,KOSDAQ,175105,132591243,0.0,0.97,1.4
284740,쿠쿠홈시스,경기관련소비재,서비스업,KOSPI,174742,132591243,4.78,1.13,2.0
006060,화승인더,경기관련소비재,화학,KOSPI,173484,132591243,0.0,0.72,3.84
065350,신성델타테크,경기관련소비재,일반전기전자,KOSDAQ,169851,132591243,11.34,1.84,1.17
010690,화신,경기관련소비재,운수장비,KOSPI,169015,132591243,14.84,1.26,0.64
024720,한국콜마홀딩스,경기관련소비재,기타금융,KOSPI,168026,132591243,14.18,0.53,1.46
110790,크리스에프앤씨,경기관련소비재,섬유·의류,KOSDAQ,166700,132591243,4.43,1.0,3.58
052260,현대바이오랜드,경기관련소비재,화학,KOSDAQ,162690,132591243,0.0,1.91,0.44
033290,코웰패션,경기관련소비재,유통,KOSDAQ,158345,132591243,8.58,1.25,2.03
270660,에브리봇,경기관련소비재,일반전기전자,KOSDAQ,156875,132591243,24.2,4.34,0.86
214330,금호에이치티,경기관련소비재,운수장비,KOSPI,153294,132591243,0.0,0.58,0.0
067990,도이치모터스,경기관련소비재,유통,KOSDAQ,148920,132591243,6.3,0.69,4.66
118990,모트렉스,경기관련소비재,운송장비·부품,KOSDAQ,147941,132591243,25.5,2.26,0.0
071840,롯데하이마트,경기관련소비재,유통업,KOSPI,143629,132591243,0.0,0.2,6.41
004250,NPC,경기관련소비재,화학,KOSPI,139095,132591243,15.18,1.23,1.06
000050,경방,경기관련소비재,유통업,KOSPI,137076,132591243,14.33,0.42,1.0
005390,신성통상,경기관련소비재,유통업,KOSPI,136810,132591243,14.0,1.52,0.0
088290,이원컴포텍,경기관련소비재,운송장비·부품,KOSDAQ,132502,132591243,0.0,3.95,0.0
